Code;Name;U_Depto
Code;Name;U_Depto
CELULARES;CELULARES;CELULARES Y TELEFONIA
TELEFONOS;TELEFONOS;CELULARES Y TELEFONIA
TELEFONIA;TELEFONIA;CELULARES Y TELEFONIA
GRABADORAS;GRABADORAS;CELULARES Y TELEFONIA
GPS/DETECTORES DE RADAR;GPS/DETECTORES DE RADAR;CELULARES Y TELEFONIA
EQUIPOS HOGAR;EQUIPOS HOGAR;AUDIO
AUDIFONOS;AUDIFONOS;AUDIO
MICROFONOS;MICROFONOS;AUDIO
PROFESIONAL;PROFESIONAL;AUDIO
SONIDO AMPLIFICADO;SONIDO AMPLIFICADO;AUDIO
ALMACENAMINIENTO;ALMACENAMINIENTO;COMPUTACION
NOTEBOOK  >COMPUTADORES;NOTEBOOK  >COMPUTADORES;COMPUTACION
ACCESORIOS PARA COMPUTACION;ACCESORIOS PARA COMPUTACION;COMPUTACION
IMAGEN DIGITAL;IMAGEN DIGITAL;COMPUTACION
IMPRESORAS >SUMINISTROS;IMPRESORAS >SUMINISTROS;COMPUTACION
IMPRESORAS > CINTAS FORMATO ESPECIAL;IMPRESORAS > CINTAS FORMATO ESPECIAL;COMPUTACION
CALCULADORAS;CALCULADORAS;COMPUTACION
SISTEMAS DE RESPALDO Y ENERGIA;SISTEMAS DE RESPALDO Y ENERGIA;COMPUTACION
SOFTWARE >LICENCIAS;SOFTWARE >LICENCIAS;COMPUTACION
TABLET;TABLET;COMPUTACION
CONECTIVIDAD, REDES Y ACCESORIOS;CONECTIVIDAD, REDES Y ACCESORIOS;COMPUTACION
GAMER Y ACCESORIOS;GAMER Y ACCESORIOS;COMPUTACION
INSTRUMENTOS DE CUERDA;INSTRUMENTOS DE CUERDA;INSTRUMENTOS MUSICALES
INSTRUMENTOS DE VIENTO;INSTRUMENTOS DE VIENTO;INSTRUMENTOS MUSICALES
PIANOS Y TECLADOS;PIANOS Y TECLADOS;INSTRUMENTOS MUSICALES
PRECUSION;PRECUSION;INSTRUMENTOS MUSICALES
SEGURIDAD;SEGURIDAD;SEGURIDAD Y CITOFONIA
CITOFONIA;CITOFONIA;SEGURIDAD Y CITOFONIA
CALEFACCION;CALEFACCION;ESTACIONALES
VENTILACION;VENTILACION;ESTACIONALES
NAVIDAD;NAVIDAD;ESTACIONALES
HALLOWEEN;HALLOWEEN;ESTACIONALES
HOGAR;HOGAR;HOGAR Y SALUD
SALUD;SALUD;HOGAR Y SALUD
PILAS Y BATERIAS;PILAS Y BATERIAS;ELECTRICIDAD Y PILAS
ALARGADORES ELECTRICOS;ALARGADORES ELECTRICOS;ELECTRICIDAD Y PILAS
ELIMINADORES DE PILAS;ELIMINADORES DE PILAS;ELECTRICIDAD Y PILAS
CARGADOR DE BATERIAS;CARGADOR DE BATERIAS;ELECTRICIDAD Y PILAS
ENCHUFES;ENCHUFES;ELECTRICIDAD Y PILAS
TIMBRES;TIMBRES;ELECTRICIDAD Y PILAS
INTERRUPTORES;INTERRUPTORES;ELECTRICIDAD Y PILAS
PLACAS ARMADAS;PLACAS ARMADAS;ELECTRICIDAD Y PILAS
PROTECCIONES ELECTRICAS;PROTECCIONES ELECTRICAS;ELECTRICIDAD Y PILAS
ACCESORIOS ELECTRICIDAD;ACCESORIOS ELECTRICIDAD;ELECTRICIDAD Y PILAS
REPELENTES;REPELENTES;ELECTRICIDAD Y PILAS
FUENTES DE ALIMENTACION;FUENTES DE ALIMENTACION;ELECTRICIDAD Y PILAS
ROBOTICA;ROBOTICA;ELECT Y SEMICONDUCTORES
SEMICONDUCTORES;SEMICONDUCTORES;ELECT Y SEMICONDUCTORES
EDUCACION;EDUCACION;ELECT Y SEMICONDUCTORES
ENERGIA RENOVABLE;ENERGIA RENOVABLE;ELECT Y SEMICONDUCTORES
LIMPIEZA Y LIQUIDOS;LIMPIEZA Y LIQUIDOS;ELECT Y SEMICONDUCTORES
SOLDADURAS Y CAUTINES;SOLDADURAS Y CAUTINES;ELECT Y SEMICONDUCTORES
MEDICION Y CORRIENTE;MEDICION Y CORRIENTE;ELECT Y SEMICONDUCTORES
CONECTORES Y ADAPTADORES;CONECTORES Y ADAPTADORES;ELECT Y SEMICONDUCTORES
ACCESORIOS DE TV Y VIDEO;ACCESORIOS DE TV Y VIDEO;TV Y VIDEO
REPRODUCTORES DE VIDEO;REPRODUCTORES DE VIDEO;TV Y VIDEO
AMPOLLETAS Y TUBOS;AMPOLLETAS Y TUBOS;ILUMINACION
LINTERNAS Y LUCES DE EMERGENCIAS;LINTERNAS Y LUCES DE EMERGENCIAS;ILUMINACION
ILUMINACION EXTERIOR;ILUMINACION EXTERIOR;ILUMINACION
ILUMINACION INTERIOR;ILUMINACION INTERIOR;ILUMINACION
JUEGOS Y HOBBIES;JUEGOS Y HOBBIES;ENTRETENIMIENTO
SCOOTERS Y RODADOS;SCOOTERS Y RODADOS;ENTRETENIMIENTO
CABLES;CABLES;CABLES Y ADAPTADORES
ADAPTADORES DE SEÑAL;ADAPTADORES DE SEÑAL;CABLES Y ADAPTADORES
HERRAMIENTAS;HERRAMIENTAS;FERRETRIA
CONTROL DE ACCESO;CONTROL DE ACCESO;FERRETRIA
FIJACIONES Y ADHESIVOS;FIJACIONES Y ADHESIVOS;FERRETRIA
HERRAMIENTAS DE MEDICION Y TRAZADO;HERRAMIENTAS DE MEDICION Y TRAZADO;FERRETRIA
IMPLEMENTOS DE PROTECCION PERSONAL;IMPLEMENTOS DE PROTECCION PERSONAL;FERRETRIA
IMPLEMENTOS DE GAFITERIA Y SOLDADURA;IMPLEMENTOS DE GAFITERIA Y SOLDADURA;FERRETRIA
MAQUINARIA;MAQUINARIA;FERRETRIA
ILUMINACION Y SONIDO;ILUMINACION Y SONIDO;EFECTO DISCOTEQUE
EFECTOS DISCO;EFECTOS DISCO;EFECTO DISCOTEQUE
AUDIO VIDEO PARA VEHICULOS;AUDIO VIDEO PARA VEHICULOS;AUTOMOTRIZ
TUNING;TUNING;AUTOMOTRIZ
